id,period,gender,age_group,brand,ratio,timestamp
17944,2024-01-05,female,30대,토레타,10.63,2025-03-24 12:29:23.227681
17942,2024-01-05,female,30대,게토레이,5.32,2025-03-24 12:29:23.227681
17943,2024-01-05,female,30대,파워에이드,8.79,2025-03-24 12:29:23.227681
17941,2024-01-05,female,30대,포카리스웨트,25.56,2025-03-24 12:29:23.227681
20185,2024-01-05,female,40대,링티,41.81,2025-03-24 12:29:23.227681
20184,2024-01-05,female,40대,토레타,7.97,2025-03-24 12:29:23.227681
20182,2024-01-05,female,40대,게토레이,7.11,2025-03-24 12:29:23.227681
20183,2024-01-05,female,40대,파워에이드,13.36,2025-03-24 12:29:23.227681
20181,2024-01-05,female,40대,포카리스웨트,29.74,2025-03-24 12:29:23.227681
22425,2024-01-05,female,50대,링티,54.66,2025-03-24 12:29:23.227681
22424,2024-01-05,female,50대,토레타,4.35,2025-03-24 12:29:23.227681
22422,2024-01-05,female,50대,게토레이,4.35,2025-03-24 12:29:23.227681
22423,2024-01-05,female,50대,파워에이드,6.83,2025-03-24 12:29:23.227681
22421,2024-01-05,female,50대,포카리스웨트,29.81,2025-03-24 12:29:23.227681
24665,2024-01-05,female,60대 이상,링티,42.11,2025-03-24 12:29:23.227681
24664,2024-01-05,female,60대 이상,토레타,1.75,2025-03-24 12:29:23.227681
24662,2024-01-05,female,60대 이상,게토레이,3.51,2025-03-24 12:29:23.227681
24663,2024-01-05,female,60대 이상,파워에이드,0.0,2025-03-24 12:29:23.227681
24661,2024-01-05,female,60대 이상,포카리스웨트,52.63,2025-03-24 12:29:23.227681
25,2024-01-05,male,10대,링티,13.64,2025-03-24 12:29:23.227681
24,2024-01-05,male,10대,토레타,9.09,2025-03-24 12:29:23.227681
22,2024-01-05,male,10대,게토레이,15.91,2025-03-24 12:29:23.227681
23,2024-01-05,male,10대,파워에이드,20.45,2025-03-24 12:29:23.227681
21,2024-01-05,male,10대,포카리스웨트,40.91,2025-03-24 12:29:23.227681
2265,2024-01-05,male,20대,링티,39.08,2025-03-24 12:29:23.227681
2264,2024-01-05,male,20대,토레타,10.73,2025-03-24 12:29:23.227681
2262,2024-01-05,male,20대,게토레이,9.96,2025-03-24 12:29:23.227681
2263,2024-01-05,male,20대,파워에이드,14.94,2025-03-24 12:29:23.227681
2261,2024-01-05,male,20대,포카리스웨트,25.29,2025-03-24 12:29:23.227681
4505,2024-01-05,male,30대,링티,36.62,2025-03-24 12:29:23.227681
4504,2024-01-05,male,30대,토레타,12.63,2025-03-24 12:29:23.227681
4502,2024-01-05,male,30대,게토레이,7.58,2025-03-24 12:29:23.227681
4503,2024-01-05,male,30대,파워에이드,10.86,2025-03-24 12:29:23.227681
4501,2024-01-05,male,30대,포카리스웨트,32.32,2025-03-24 12:29:23.227681
6745,2024-01-05,male,40대,링티,36.31,2025-03-24 12:29:23.227681
6744,2024-01-05,male,40대,토레타,7.96,2025-03-24 12:29:23.227681
6742,2024-01-05,male,40대,게토레이,10.19,2025-03-24 12:29:23.227681
6743,2024-01-05,male,40대,파워에이드,9.87,2025-03-24 12:29:23.227681
6741,2024-01-05,male,40대,포카리스웨트,35.67,2025-03-24 12:29:23.227681
8985,2024-01-05,male,50대,링티,38.6,2025-03-24 12:29:23.227681
8984,2024-01-05,male,50대,토레타,7.89,2025-03-24 12:29:23.227681
8982,2024-01-05,male,50대,게토레이,10.53,2025-03-24 12:29:23.227681
8983,2024-01-05,male,50대,파워에이드,5.26,2025-03-24 12:29:23.227681
8981,2024-01-05,male,50대,포카리스웨트,37.72,2025-03-24 12:29:23.227681
11225,2024-01-05,male,60대 이상,링티,25.45,2025-03-24 12:29:23.227681
11224,2024-01-05,male,60대 이상,토레타,0.0,2025-03-24 12:29:23.227681
11222,2024-01-05,male,60대 이상,게토레이,7.27,2025-03-24 12:29:23.227681
11223,2024-01-05,male,60대 이상,파워에이드,1.82,2025-03-24 12:29:23.227681
11221,2024-01-05,male,60대 이상,포카리스웨트,65.45,2025-03-24 12:29:23.227681
13470,2024-01-06,female,10대,링티,17.65,2025-03-24 12:29:23.227681
13469,2024-01-06,female,10대,토레타,9.41,2025-03-24 12:29:23.227681
13467,2024-01-06,female,10대,게토레이,12.94,2025-03-24 12:29:23.227681
